method,k,category,metric,mean,seed_std,ci_low,ci_high,num_categories,num_seeds,ci_resampling_unit,aggregation,uncertainty_scope
patchcore,2,pcb3,mean_anomaly_mask_precision,0.14310863197499196,0.008221729251429558,0.1365913723530245,0.1490063515011937,1,5,support_seed,within_category,support_seed_interval
patchcore,2,pcb4,mean_anomaly_mask_precision,0.22645462550471832,0.024179937041110013,0.20840270609316325,0.2460054822682649,1,5,support_seed,within_category,support_seed_interval
patchcore,4,macro,mean_anomaly_mask_precision,0.16534861007614315,0.018914277735396327,0.1523201285563194,0.18089370930590717,4,5,support_seed,category_macro,support_seed_interval
patchcore,4,pcb1,mean_anomaly_mask_precision,0.13252111555924143,0.029046564241952764,0.1102346648111654,0.15480756630731746,1,5,support_seed,within_category,support_seed_interval
patchcore,4,pcb2,mean_anomaly_mask_precision,0.15333848780556675,0.008939361566532198,0.14650515204388206,0.16016775502524488,1,5,support_seed,within_category,support_seed_interval
patchcore,4,pcb3,mean_anomaly_mask_precision,0.1457174882163192,0.010303126698764483,0.1375597139083723,0.15369189463184987,1,5,support_seed,within_category,support_seed_interval
patchcore,4,pcb4,mean_anomaly_mask_precision,0.22981734872344523,0.05515657095321438,0.19976751223511338,0.280166061823489,1,5,support_seed,within_category,support_seed_interval
sam2_only,0,macro,mean_anomaly_mask_precision,0.0036222140024980928,,,,4,1,support_seed,category_macro,descriptive_single_run
sam2_only,0,pcb1,mean_anomaly_mask_precision,0.005278914461722694,,,,1,1,support_seed,within_category,descriptive_single_run
sam2_only,0,pcb2,mean_anomaly_mask_precision,0.0035141458897866257,,,,1,1,support_seed,within_category,descriptive_single_run
sam2_only,0,pcb3,mean_anomaly_mask_precision,0.002973297094077594,,,,1,1,support_seed,within_category,descriptive_single_run
sam2_only,0,pcb4,mean_anomaly_mask_precision,0.0027224985644054567,,,,1,1,support_seed,within_category,descriptive_single_run
anomaly_consistent_sam2,1,macro,mean_anomaly_mask_recall,0.39260732746579896,0.02688844627343047,0.3714974257019525,0.4141012973905223,4,5,support_seed,category_macro,support_seed_interval
anomaly_consistent_sam2,1,pcb1,mean_anomaly_mask_recall,0.6868929311249891,0.020451132671545493,0.671640785066261,0.7024101316764991,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,1,pcb2,mean_anomaly_mask_recall,0.36050072678860723,0.08504176511491247,0.29972603505937667,0.43189505746824197,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,1,pcb3,mean_anomaly_mask_recall,0.30880286875773477,0.011267213376763318,0.29930534336281545,0.3182381709141274,1,5,support_seed,within_category,support_seed_interval
anomaly_consistent_sam2,1,pcb4,mean_anomaly_mask_recall,0.21423278319186484,0.014562868689552323,0.20286384542992647,0.22560172095380313,1,5,support_seed,within_category,support_seed_interval
